Accuracy,Kappa,sigma,C,Resample
0.5714285714285714,0.11327007079379421,0.03691417408949733,0.5,Training1006
0.5517241379310345,0.0673499267935577,0.1393190047123921,0.5,Training1006
0.5270935960591133,0,0.24172383533528688,0.5,Training1006
0.5615763546798029,0.08632547790027305,0.03691417408949733,1,Training1006
0.5566502463054187,0.0877315623907724,0.1393190047123921,1,Training1006
0.5270935960591133,0.01665152891310932,0.24172383533528688,1,Training1006
0.5246305418719212,0,0.03691417408949733,0.25,Training1007
0.5320197044334976,0.026722854475258087,0.1393190047123921,0.25,Training1007
0.5221674876847291,0.002204261572373401,0.24172383533528688,0.25,Training1007
0.5689655172413793,0.11140848945696499,0.03691417408949733,0.5,Training1007
0.5320197044334976,0.026231412052816355,0.1393190047123921,0.5,Training1007
0.5123152709359606,-0.015282022784106562,0.24172383533528688,0.5,Training1007
0.5591133004926109,0.08790381284670816,0.03691417408949733,1,Training1007
0.5566502463054187,0.08943656707119546,0.1393190047123921,1,Training1007
0.5270935960591133,0.020432782929955547,0.24172383533528688,1,Training1007
0.5566502463054187,0.07701634292353939,0.03691417408949733,0.25,Training1008
0.5246305418719212,0,0.1393190047123921,0.25,Training1008
0.5344827586206896,0.03501094091903722,0.24172383533528688,0.25,Training1008
0.5591133004926109,0.08606856309263329,0.03691417408949733,0.5,Training1008
0.5246305418719212,0.00659245924085288,0.1393190047123921,0.5,Training1008
0.5467980295566502,0.06360149414625581,0.24172383533528688,0.5,Training1008
0.5246305418719212,0,0.03691417408949733,1,Training1008
0.5492610837438424,0.07356791939948638,0.1393190047123921,1,Training1008
0.5221674876847291,-8.386490126812046e-4,0.24172383533528688,1,Training1008
0.5640394088669951,0.09445802565588869,0.03691417408949733,0.25,Training1009
0.5566502463054187,0.08257802103994571,0.1393190047123921,0.25,Training1009
0.5369458128078818,0.04132231404958678,0.24172383533528688,0.25,Training1009
0.5665024630541872,0.10431447266163595,0.03691417408949733,0.5,Training1009
0.5591133004926109,0.08881867649640177,0.1393190047123921,0.5,Training1009
0.5197044334975369,0.0038752862427339045,0.24172383533528688,0.5,Training1009
0.5541871921182266,0.07539193235864033,0.03691417408949733,1,Training1009
0.5221674876847291,0.00522872515092587,0.1393190047123921,1,Training1009
0.5344827586206896,0.04080102002550058,0.24172383533528688,1,Training1009
