Accuracy,Kappa,size,decay,Resample
0.5246305418719212,0,2,1,Training1003
0.5246305418719212,0,3,1,Training1003
0.5246305418719212,0,4,1,Training1003
0.5246305418719212,0,5,1,Training1003
0.5591133004926109,0.0950364854431798,1,0.001,Training1004
0.5492610837438424,0.06611528696045652,2,0.001,Training1004
0.5714285714285714,0.12151810584958213,3,0.001,Training1004
0.5344827586206896,0.03602924549634421,4,0.001,Training1004
0.5123152709359606,-0.010153304850464813,5,0.001,Training1004
0.5665024630541872,0.0995967741935483,1,0.01,Training1004
0.5566502463054187,0.08873260511746214,2,0.01,Training1004
0.5295566502463054,0.025828496771437812,3,0.01,Training1004
0.5566502463054187,0.09321024419297198,4,0.01,Training1004
0.5517241379310345,0.07860741184098952,5,0.01,Training1004
0.5689655172413793,0.10297199707092897,1,0.1,Training1004
0.5689655172413793,0.10297199707092897,2,0.1,Training1004
0.5689655172413793,0.10297199707092897,3,0.1,Training1004
0.5689655172413793,0.10297199707092897,4,0.1,Training1004
0.5566502463054187,0.0796433429046396,5,0.1,Training1004
0.5270935960591133,0,1,1,Training1004
0.5270935960591133,0,2,1,Training1004
0.5270935960591133,0,3,1,Training1004
0.5270935960591133,0,4,1,Training1004
0.5270935960591133,0,5,1,Training1004
0.5517241379310345,0.08213256484149856,1,0.001,Training1005
0.5492610837438424,0.06663149167106364,2,0.001,Training1005
0.5640394088669951,0.09523329891974927,3,0.001,Training1005
0.5295566502463054,0.03542552926835337,4,0.001,Training1005
0.5467980295566502,0.056052565074551315,5,0.001,Training1005
0.5812807881773399,0.13365466686750005,1,0.01,Training1005
0.541871921182266,0.05732261447046484,2,0.01,Training1005
0.5517241379310345,0.09058238566435287,3,0.01,Training1005
0.5467980295566502,0.0654055947555422,4,0.01,Training1005
0.541871921182266,0.05680455635491615,5,0.01,Training1005
0.5763546798029556,0.11908366131799364,1,0.1,Training1005
0.5738916256157636,0.11371608832807578,2,0.1,Training1005
0.5738916256157636,0.11371608832807578,3,0.1,Training1005
0.5738916256157636,0.11371608832807578,4,0.1,Training1005
0.5738916256157636,0.11371608832807578,5,0.1,Training1005
0.5270935960591133,0,1,1,Training1005
0.5270935960591133,0,2,1,Training1005
0.5270935960591133,0,3,1,Training1005
0.5270935960591133,0,4,1,Training1005
0.5270935960591133,0,5,1,Training1005
0.5541871921182266,0.062319765216282,1,0.001,Training1006
0.5517241379310345,0.07403508771929813,2,0.001,Training1006
0.5394088669950738,0.04728322248713753,3,0.001,Training1006
0.5763546798029556,0.13114019807893282,4,0.001,Training1006
0.5295566502463054,0.03542552926835337,5,0.001,Training1006
0.5541871921182266,0.07734223940938671,1,0.01,Training1006
0.5467980295566502,0.0674589304439007,2,0.01,Training1006
