Accuracy,Kappa,C,Resample
0.5355191256830601,0.007465543644716813,2,Training1013
0.5355191256830601,0,0.01,Training1014
0.5355191256830601,0.007465543644716813,0.1,Training1014
0.5601092896174863,0.06505251800844085,0.5,Training1014
0.5382513661202186,0.00795509222133138,1,Training1014
0.5409836065573771,0.0215772388772198,2,Training1014
0.5355191256830601,0.0033318382776959072,0.01,Training1015
0.5355191256830601,0,0.1,Training1015
0.5409836065573771,0.0215772388772198,0.5,Training1015
0.5546448087431693,0.05265665195159883,1,Training1015
0.5382513661202186,0.013713046528685848,2,Training1015
0.5546448087431693,0.04872915138565539,0.01,Training1016
0.5382513661202186,0.013713046528685848,0.1,Training1016
0.5355191256830601,0.005816183049980946,0.5,Training1016
0.5,-0.0505693760391505,1,Training1016
0.5382513661202186,0.011253556699383159,2,Training1016
0.5519125683060109,0.049320535968830063,0.01,Training1017
0.5300546448087432,-9.531979792192393e-5,0.1,Training1017
0.5355191256830601,0.013038926429999148,0.5,Training1017
0.5327868852459017,7.663569307406021e-4,1,Training1017
0.5355191256830601,0.011533695548565554,2,Training1017
0.5546448087431693,0.055775379063657135,0.01,Training1018
0.5382513661202186,0.008781769815070097,0.1,Training1018
0.5355191256830601,0.009109440693081807,0.5,Training1018
0.5355191256830601,0.005816183049980946,1,Training1018
0.5382513661202186,0.012074748442740844,2,Training1018
0.5519125683060109,0.0417012580624559,0.01,Training1019
0.5355191256830601,8.350462487151945e-4,0.1,Training1019
0.5355191256830601,0.007465543644716813,0.5,Training1019
0.5573770491803278,0.061954183014808185,1,Training1019
0.546448087431694,0.034024421266853365,2,Training1019
0.505464480874317,-0.03993595177545459,0.01,Training1020
0.5601092896174863,0.06177753717797649,0.1,Training1020
0.5163934426229508,-0.030543094397251246,0.5,Training1020
0.5355191256830601,0.002660853396595414,1,Training1020
0.5683060109289617,0.0853762692563185,2,Training1020
0.43169398907103823,-0.11808248149453658,0.01,Training1021
0.5382513661202186,0.0013561949045819558,0.1,Training1021
0.5573770491803278,0.05326690936961084,0.5,Training1021
0.5546448087431693,0.04696635675261175,1,Training1021
0.5409836065573771,0.003888024883359329,2,Training1021
0.5437158469945356,0.019821033387857193,0.01,Training1022
0.5382513661202186,-0.0035043317434050626,0.1,Training1022
0.5409836065573771,0,0.5,Training1022
0.5437158469945356,0.017931167453966973,1,Training1022
0.5437158469945356,0.00837145916480093,2,Training1022
0.5519125683060109,0.03872393581243366,0.01,Training1023
0.5437158469945356,0.018057385213507658,0.1,Training1023
0.5355191256830601,8.671355621928944e-4,0.5,Training1023
0.5409836065573771,0.008162080201309657,1,Training1023
0.5382513661202186,9.045388467131e-4,2,Training1023
0.5437158469945356,0.02507416977701219,0.01,Training1024
0.5437158469945356,0.017173178967679763,0.1,Training1024
0.5409836065573771,0.016160517136548192,0.5,Training1024
0.5546448087431693,0.05181347150259054,1,Training1024
0.5382513661202186,9.045388467131e-4,2,Training1024
0.5382513661202186,0,0.01,Training1025
0.5382513661202186,0.004506389416422738,0.1,Training1025
0.5382513661202186,0.007190780392282828,0.5,Training1025
0.5382513661202186,0.007190780392282828,1,Training1025
0.5546448087431693,0.050968788775412555,2,Training1025
