Accuracy,Kappa,sigma,C,Resample
0.5355191256830601,0.013696024348487807,0.23701577217798714,1,Training1003
0.5601092896174863,0.079079798705966875,0.037935124140244136,0.25,Training1004
0.5300546448087432,0,0.13747544815911564,0.25,Training1004
0.5218579234972678,-0.0016890306840574366,0.23701577217798714,0.25,Training1004
0.546448087431694,0.040250221155061425,0.037935124140244136,0.5,Training1004
0.5327868852459017,0.021206718588721047,0.13747544815911564,0.5,Training1004
0.5327868852459017,0.00754812723985909,0.23701577217798714,0.5,Training1004
0.5491803278688525,0.04966480974412247,0.037935124140244136,1,Training1004
0.5218579234972678,-0.0023787911984726744,0.13747544815911564,1,Training1004
0.5109289617486339,-0.02458477995683592,0.23701577217798714,1,Training1004
0.5300546448087432,0.001395939086294616,0.037935124140244136,0.25,Training1005
0.5245901639344263,9.412650602408656e-4,0.13747544815911564,0.25,Training1005
0.5218579234972678,-0.0016890306840574366,0.23701577217798714,0.25,Training1005
0.5409836065573771,0.03405806208369987,0.037935124140244136,0.5,Training1005
0.5273224043715847,-0.004760544606302935,0.13747544815911564,0.5,Training1005
0.5273224043715847,0.011798857570933675,0.23701577217798714,0.5,Training1005
0.5546448087431693,0.0708345014484625,0.037935124140244136,1,Training1005
0.5191256830601093,-0.011240188383045503,0.13747544815911564,1,Training1005
0.5136612021857924,-0.0192115143929912,0.23701577217798714,1,Training1005
0.5655737704918032,0.09796323278668194,0.037935124140244136,0.25,Training1006
0.5191256830601093,-0.011939173055171625,0.13747544815911564,0.25,Training1006
0.5218579234972678,-0.005841892019221612,0.23701577217798714,0.25,Training1006
0.5491803278688525,0.06328524895300147,0.037935124140244136,0.5,Training1006
0.5382513661202186,0.03398406996720287,0.13747544815911564,0.5,Training1006
0.5245901639344263,-0.004606259464916901,0.23701577217798714,0.5,Training1006
0.5546448087431693,0.06955925013256785,0.037935124140244136,1,Training1006
0.5382513661202186,0.03795066413662251,0.13747544815911564,1,Training1006
0.5300546448087432,0,0.23701577217798714,1,Training1006
0.5573770491803278,0.06791171477079788,0.037935124140244136,0.25,Training1007
0.5245901639344263,-0.003909452046156848,0.13747544815911564,0.25,Training1007
0.5109289617486339,-0.030969691247285425,0.23701577217798714,0.25,Training1007
0.5573770491803278,0.07621837217998235,0.037935124140244136,0.5,Training1007
0.5355191256830601,0.026595744680851154,0.13747544815911564,0.5,Training1007
0.5245901639344263,0.007109448082320016,0.23701577217798714,0.5,Training1007
0.5491803278688525,0.04768663071246101,0.037935124140244136,1,Training1007
0.5437158469945356,0.053223457975773755,0.13747544815911564,1,Training1007
0.5218579234972678,0.0010605446208552182,0.23701577217798714,1,Training1007
0.5655737704918032,0.08926726971110184,0.037935124140244136,0.25,Training1008
0.5382513661202186,0.03398406996720287,0.13747544815911564,0.25,Training1008
0.5136612021857924,-0.026275992438563347,0.23701577217798714,0.25,Training1008
0.5573770491803278,0.07431461937176041,0.037935124140244136,0.5,Training1008
0.5519125683060109,0.06481366072541422,0.13747544815911564,0.5,Training1008
0.505464480874317,-0.03889219960480504,0.23701577217798714,0.5,Training1008
0.5437158469945356,0.034804029940308935,0.037935124140244136,1,Training1008
0.5437158469945356,0.05386830129098183,0.13747544815911564,1,Training1008
0.5273224043715847,0.01518026565464905,0.23701577217798714,1,Training1008
0.5300546448087432,0.001395939086294616,0.037935124140244136,0.25,Training1009
0.5300546448087432,0,0.13747544815911564,0.25,Training1009
0.5218579234972678,0.001745581496836152,0.23701577217798714,0.25,Training1009
0.5601092896174863,0.08034460155445257,0.037935124140244136,0.5,Training1009
