Accuracy,Kappa,size,decay,Resample
0.5300546448087432,0,2,1,Training1007
0.5300546448087432,0,3,1,Training1007
0.5300546448087432,0,4,1,Training1007
0.5300546448087432,0,5,1,Training1007
0.5491803278688525,0.07340350446497072,1,0.001,Training1008
0.5573770491803278,0.07937395192845148,2,0.001,Training1008
0.5655737704918032,0.09549566352699787,3,0.001,Training1008
0.5245901639344263,0.003692115143929976,4,0.001,Training1008
0.5601092896174863,0.08661685835632572,5,0.001,Training1008
0.5519125683060109,0.0680081982485558,1,0.01,Training1008
0.546448087431694,0.06304361236197653,2,0.01,Training1008
0.5573770491803278,0.10147299509001627,3,0.01,Training1008
0.5327868852459017,0.037108834117972916,4,0.01,Training1008
0.5245901639344263,0.026476702947291115,5,0.01,Training1008
0.5601092896174863,0.079079798705966875,1,0.1,Training1008
0.5655737704918032,0.09051980120651389,2,0.1,Training1008
0.5655737704918032,0.09051980120651389,3,0.1,Training1008
0.5655737704918032,0.09051980120651389,4,0.1,Training1008
0.5519125683060109,0.06737103791174637,5,0.1,Training1008
0.5300546448087432,0,1,1,Training1008
0.5300546448087432,0,2,1,Training1008
0.5300546448087432,0,3,1,Training1008
0.5300546448087432,0,4,1,Training1008
0.5300546448087432,0,5,1,Training1008
0.5573770491803278,0.06272526082832737,1,0.001,Training1009
0.5710382513661202,0.12070390206579953,2,0.001,Training1009
0.5491803278688525,0.07089448906120198,3,0.001,Training1009
0.5327868852459017,0.043583239096549514,4,0.001,Training1009
0.5300546448087432,0.048546037119883916,5,0.001,Training1009
0.5546448087431693,0.07463936714751034,1,0.01,Training1009
0.5519125683060109,0.07808564231738013,2,0.01,Training1009
0.5601092896174863,0.09033931272963029,3,0.01,Training1009
0.5683060109289617,0.11895910780669129,4,0.01,Training1009
0.5409836065573771,0.06632653061224493,5,0.01,Training1009
0.5601092896174863,0.07971263470248303,1,0.1,Training1009
0.5628415300546448,0.0857428339474177,2,0.1,Training1009
0.5573770491803278,0.07937395192845148,3,0.1,Training1009
0.5546448087431693,0.07400738832148489,4,0.1,Training1009
