Accuracy,Kappa,degree,scale,C,Resample
0.5394088669950738,0.04112253403723251,2,0.01,0.5,Training1002
0.5320197044334976,0.025517938352703412,3,0.01,0.5,Training1002
0.5246305418719212,0.006743566992014228,1,0.1,0.5,Training1002
0.5246305418719212,0.006743566992014228,2,0.1,0.5,Training1002
0.5541871921182266,0.08190699882561657,3,0.1,0.5,Training1002
0.5221674876847291,0.0013693072319708869,1,0.001,1,Training1002
0.5221674876847291,0.0027348695872372415,2,0.001,1,Training1002
0.5197044334975369,-0.004007406092271859,3,0.001,1,Training1002
0.5221674876847291,0.0022800972841506466,1,0.01,1,Training1002
0.5221674876847291,0,2,0.01,1,Training1002
0.5246305418719212,0.007196614550338202,3,0.01,1,Training1002
0.5246305418719212,0.007196614550338202,1,0.1,1,Training1002
0.541871921182266,0.05121117700271378,2,0.1,1,Training1002
0.5517241379310345,0.07496244366549812,3,0.1,1,Training1002
0.5246305418719212,0.0010199138172824267,1,0.001,0.25,Training1003
0.5197044334975369,-0.008303828421508456,2,0.001,0.25,Training1003
0.5270935960591133,0.014488356216339333,3,0.001,0.25,Training1003
0.5270935960591133,0.008471342440662628,1,0.01,0.25,Training1003
0.5320197044334976,0.02029515608727694,2,0.01,0.25,Training1003
0.5295566502463054,0.013384564492735134,3,0.01,0.25,Training1003
0.5344827586206896,0.025698976611899654,1,0.1,0.25,Training1003
0.5615763546798029,0.0872717168910556,2,0.1,0.25,Training1003
0.5246305418719212,0,3,0.1,0.25,Training1003
0.5246305418719212,0,1,0.001,0.5,Training1003
0.5246305418719212,0,2,0.001,0.5,Training1003
0.5246305418719212,0.0015290909554269794,3,0.001,0.5,Training1003
0.5320197044334976,0.019298736301457103,1,0.01,0.5,Training1003
0.5443349753694581,0.04728684137091238,2,0.01,0.5,Training1003
0.541871921182266,0.04335047759000744,3,0.01,0.5,Training1003
0.5270935960591133,0.008975565104630349,1,0.1,0.5,Training1003
0.5492610837438424,0.06423335600392979,2,0.1,0.5,Training1003
0.5566502463054187,0.08026882126406401,3,0.1,0.5,Training1003
0.5123152709359606,-0.022513928108066628,1,0.001,1,Training1003
0.5541871921182266,0.07724955423290407,2,0.001,1,Training1003
