Accuracy,Kappa,C,sigma,Resample
0.5273224043715847,-0.005462571855051129,0.25,0.01,Training1003
0.5437158469945356,0.034804029940308935,0.5,0.01,Training1003
0.5273224043715847,-0.0033594269958480295,1,0.01,Training1003
0.5300546448087432,0,0.001,0.001,Training1004
0.5409836065573771,0.028686970807532026,0.1,0.001,Training1004
0.4644808743169399,-0.08421498095641139,0.25,0.001,Training1004
0.5300546448087432,0,0.5,0.001,Training1004
0.49453551912568305,-0.06258435077367325,1,0.001,Training1004
0.5546448087431693,0.06635575448370816,0.001,0.002,Training1004
0.5300546448087432,0,0.1,0.002,Training1004
0.5300546448087432,0,0.25,0.002,Training1004
0.5273224043715847,-0.004059497002949589,0.5,0.002,Training1004
0.5300546448087432,0,1,0.002,Training1004
0.5300546448087432,0.009690410269317882,0.001,0.005,Training1004
0.5300546448087432,0,0.1,0.005,Training1004
0.5300546448087432,0.001395939086294616,0.25,0.005,Training1004
0.5437158469945356,0.03614343835746052,0.5,0.005,Training1004
0.5273224043715847,-0.005462571855051129,1,0.005,Training1004
0.5573770491803278,0.07176404283298873,0.001,0.01,Training1004
0.5245901639344263,-0.009511128019783094,0.1,0.01,Training1004
0.5300546448087432,0,0.25,0.01,Training1004
0.5300546448087432,0.001395939086294616,0.5,0.01,Training1004
0.5245901639344263,-0.00740318906605911,1,0.01,Training1004
0.5300546448087432,0,0.001,0.001,Training1005
0.5573770491803278,0.07367829021372316,0.1,0.001,Training1005
0.5300546448087432,6.984570448916033e-4,0.25,0.001,Training1005
0.5382513661202186,0.021885575128878287,0.5,0.001,Training1005
0.5300546448087432,0,1,0.001,Training1005
0.5300546448087432,0.001395939086294616,0.001,0.002,Training1005
0.5355191256830601,0.021205638056883965,0.1,0.002,Training1005
0.5409836065573771,0.028011381599747098,0.25,0.002,Training1005
0.5382513661202186,0.021885575128878287,0.5,0.002,Training1005
0.5519125683060109,0.06095118898623268,1,0.002,Training1005
0.5300546448087432,0,0.001,0.005,Training1005
0.5382513661202186,0.02864411570715174,0.1,0.005,Training1005
0.5300546448087432,0,0.25,0.005,Training1005
0.5136612021857924,-0.02841447243796158,0.5,0.005,Training1005
0.5437158469945356,0.04080223470700858,1,0.005,Training1005
0.4672131147540984,-0.0833662224111237,0.001,0.01,Training1005
0.5355191256830601,0.016440088523553595,0.1,0.01,Training1005
0.5573770491803278,0.07240300375469327,0.25,0.01,Training1005
0.5300546448087432,0.001395939086294616,0.5,0.01,Training1005
0.5300546448087432,0.004868795447360094,1,0.01,Training1005
0.5300546448087432,0,0.001,0.001,Training1006
0.5355191256830601,0.01575550493545952,0.1,0.001,Training1006
0.5300546448087432,6.984570448916033e-4,0.25,0.001,Training1006
0.546448087431694,0.04753245124474828,0.5,0.001,Training1006
0.5300546448087432,6.984570448916033e-4,1,0.001,Training1006
0.5300546448087432,0.001395939086294616,0.001,0.002,Training1006
0.5601092896174863,0.08474418315678285,0.1,0.002,Training1006
0.453551912568306,-0.1034066927946939,0.25,0.002,Training1006
0.5300546448087432,0.0027879863135216623,0.5,0.002,Training1006
0.5300546448087432,0.0027879863135216623,1,0.002,Training1006
0.5300546448087432,6.984570448916033e-4,0.001,0.005,Training1006
0.5300546448087432,0.001395939086294616,0.1,0.005,Training1006
0.5491803278688525,0.0535966149506347,0.25,0.005,Training1006
0.5300546448087432,6.984570448916033e-4,0.5,0.005,Training1006
0.5409836065573771,0.028011381599747098,1,0.005,Training1006
0.5655737704918032,0.09673113339335031,0.001,0.01,Training1006
0.5300546448087432,0,0.1,0.01,Training1006
0.5273224043715847,-0.005462571855051129,0.25,0.01,Training1006
0.5300546448087432,0,0.5,0.01,Training1006
0.5491803278688525,0.05032237773234782,1,0.01,Training1006
0.5300546448087432,0,0.001,0.001,Training1007
0.5300546448087432,6.984570448916033e-4,0.1,0.001,Training1007
0.5409836065573771,0.028011381599747098,0.25,0.001,Training1007
0.5300546448087432,0,0.5,0.001,Training1007
0.5300546448087432,0,1,0.001,Training1007
0.5355191256830601,0.013696024348487807,0.001,0.002,Training1007
0.5300546448087432,0.001395939086294616,0.1,0.002,Training1007
0.5300546448087432,0.001395939086294616,0.25,0.002,Training1007
0.5409836065573771,0.028011381599747098,0.5,0.002,Training1007
0.5437158469945356,0.04080223470700858,1,0.002,Training1007
0.546448087431694,0.04091684031066512,0.001,0.005,Training1007
0.5300546448087432,0,0.1,0.005,Training1007
0.546448087431694,0.04687499999999996,0.25,0.005,Training1007
0.5382513661202186,0.021885575128878287,0.5,0.005,Training1007
0.5300546448087432,0.001395939086294616,1,0.005,Training1007
0.4180327868852459,-0.16012381320872662,0.001,0.01,Training1007
0.546448087431694,0.04091684031066512,0.1,0.01,Training1007
0.546448087431694,0.04423609363201614,0.25,0.01,Training1007
0.5491803278688525,0.05228963309375101,0.5,0.01,Training1007
0.5355191256830601,0.017806402727789557,1,0.01,Training1007
0.5300546448087432,0,0.001,0.001,Training1008
0.5409836065573771,0.031379962192816684,0.1,0.001,Training1008
0.5273224043715847,-0.005462571855051129,0.25,0.001,Training1008
0.4672131147540984,-0.09877759645287443,0.5,0.001,Training1008
0.5355191256830601,0.015069967707212098,1,0.001,Training1008
0.546448087431694,0.04158253407370002,0.001,0.002,Training1008
0.4371584699453552,-0.10073580939032947,0.1,0.002,Training1008
0.546448087431694,0.040250221155061425,0.25,0.002,Training1008
0.5546448087431693,0.06699821713427778,0.5,0.002,Training1008
0.5573770491803278,0.07304108561065578,1,0.002,Training1008
0.5382513661202186,0.021885575128878287,0.001,0.005,Training1008
0.5300546448087432,0,0.1,0.005,Training1008
0.5382513661202186,0.025276560874909496,0.25,0.005,Training1008
0.5300546448087432,0,0.5,0.005,Training1008
0.5546448087431693,0.06442304676473345,1,0.005,Training1008
0.5409836065573771,0.028686970807532026,0.001,0.01,Training1008
0.5382513661202186,0.024600246002460035,0.1,0.01,Training1008
0.546448087431694,0.04091684031066512,0.25,0.01,Training1008
