Accuracy,Kappa,C,sigma,Resample
0.4262295081967213,-0.1389703921045613,0.001,0.01,Training1023
0.5355191256830601,-0.005462008338450541,0.1,0.01,Training1023
0.5382513661202186,0,0.25,0.01,Training1023
0.5355191256830601,-0.0027397260273972937,0.5,0.01,Training1023
0.5683060109289617,0.07967024222554661,1,0.01,Training1023
0.5382513661202186,0,0.001,0.001,Training1024
0.5491803278688525,0.03846766232525562,0.1,0.001,Training1024
0.5683060109289617,0.1005132991133924,0.25,0.001,Training1024
0.44808743169398907,-0.1168988125812006,0.5,0.001,Training1024
0.5710382513661202,0.09636735335744594,1,0.001,Training1024
0.5382513661202186,0.0027087162619714674,0.001,0.002,Training1024
0.5409836065573771,0.006366956465531244,0.1,0.002,Training1024
0.45081967213114754,-0.07543197965090787,0.25,0.002,Training1024
0.5382513661202186,0.003608363671510074,0.5,0.002,Training1024
0.5382513661202186,0,1,0.002,Training1024
0.5382513661202186,0,0.001,0.005,Training1024
0.5382513661202186,0,0.1,0.005,Training1024
0.5409836065573771,0.01084263698079236,0.25,0.005,Training1024
0.5382513661202186,0,0.5,0.005,Training1024
0.5355191256830601,-0.005462008338450541,1,0.005,Training1024
0.5491803278688525,0.03416178869590241,0.001,0.01,Training1024
0.5382513661202186,0,0.1,0.01,Training1024
0.5491803278688525,0.03242862178357432,0.25,0.01,Training1024
0.5601092896174863,0.06344766203630109,0.5,0.01,Training1024
0.4180327868852459,-0.14809578510205884,1,0.01,Training1024
0.5382513661202186,0,0.001,0.001,Training1025
0.546448087431694,0.02874316590465834,0.1,0.001,Training1025
0.546448087431694,0.026127656846087314,0.25,0.001,Training1025
0.5382513661202186,9.045388467131e-4,0.5,0.001,Training1025
0.546448087431694,0.02525268730948195,1,0.001,Training1025
0.5382513661202186,0,0.001,0.002,Training1025
0.5683060109289617,0.0837532084798934,0.1,0.002,Training1025
0.5382513661202186,9.045388467131e-4,0.25,0.002,Training1025
0.546448087431694,0.032208735544298955,0.5,0.002,Training1025
0.5355191256830601,-0.0036455140820081,1,0.002,Training1025
0.5546448087431693,0.05265665195159883,0.001,0.005,Training1025
0.5601092896174863,0.07170988373924798,0.1,0.005,Training1025
0.5081967213114754,-0.0429001108120945,0.25,0.005,Training1025
0.5382513661202186,0,0.5,0.005,Training1025
0.4180327868852459,-0.17029453268081793,1,0.005,Training1025
0.5382513661202186,0.003608363671510074,0.001,0.01,Training1025
0.5710382513661202,0.09636735335744594,0.1,0.01,Training1025
0.5710382513661202,0.0931729949815358,0.25,0.01,Training1025
0.5546448087431693,0.049274900398406096,0.5,0.01,Training1025
0.5792349726775956,0.10615623711503673,1,0.01,Training1025
0.5355191256830601,0,0.001,0.001,Training1026
0.5355191256830601,0,0.1,0.001,Training1026
0.4972677595628415,-0.06631198935968088,0.25,0.001,Training1026
0.5355191256830601,0,0.5,0.001,Training1026
0.42896174863387976,-0.10352289448628077,1,0.001,Training1026
0.5355191256830601,8.350462487151945e-4,0.001,0.002,Training1026
0.5655737704918032,0.08272122568645367,0.1,0.002,Training1026
0.5355191256830601,0,0.25,0.002,Training1026
0.5601092896174863,0.07948261317836702,0.5,0.002,Training1026
0.5382513661202186,0.006297593419657436,1,0.002,Training1026
0.5355191256830601,0.005816183049980946,0.001,0.005,Training1026
0.5409836065573771,0.024000000000000136,0.1,0.005,Training1026
0.46174863387978143,-0.10305051555854737,0.25,0.005,Training1026
0.5628415300546448,0.07959260656356087,0.5,0.005,Training1026
0.5355191256830601,0,1,0.005,Training1026
0.42349726775956287,-0.11996403399367701,0.001,0.01,Training1026
0.43169398907103823,-0.1205181042095968,0.1,0.01,Training1026
0.4644808743169399,-0.1031555637571508,0.25,0.01,Training1026
0.5355191256830601,0,0.5,0.01,Training1026
0.5628415300546448,0.07124278373406061,1,0.01,Training1026
0.5355191256830601,0,0.001,0.001,Training1027
0.546448087431694,0.03879255790406293,0.1,0.001,Training1027
0.5655737704918032,0.08646510313647902,0.25,0.001,Training1027
0.5683060109289617,0.0903542440067953,0.5,0.001,Training1027
0.5355191256830601,0,1,0.001,Training1027
0.5355191256830601,8.350462487151945e-4,0.001,0.002,Training1027
0.5437158469945356,0.03180738159353723,0.1,0.002,Training1027
0.5683060109289617,0.09332079021636863,0.25,0.002,Training1027
0.5355191256830601,0,0.5,0.002,Training1027
0.5355191256830601,8.350462487151945e-4,1,0.002,Training1027
0.48633879781420764,-0.07184248239765728,0.001,0.005,Training1027
0.5355191256830601,0,0.1,0.005,Training1027
0.5628415300546448,0.09000497265042263,0.25,0.005,Training1027
0.5382513661202186,0.013713046528685848,0.5,0.005,Training1027
0.5355191256830601,0,1,0.005,Training1027
0.5355191256830601,0.0033318382776959072,0.001,0.01,Training1027
0.4426229508196721,-0.08896797153024907,0.1,0.01,Training1027
0.5437158469945356,0.026192524615237515,0.25,0.01,Training1027
0.5355191256830601,0,0.5,0.01,Training1027
0.5355191256830601,0.007465543644716813,1,0.01,Training1027
0.5382513661202186,0,0.001,0.001,Training1028
0.5409836065573771,0.0152781781493225,0.1,0.001,Training1028
0.5300546448087432,-0.014536663980660806,0.25,0.001,Training1028
0.5382513661202186,0,0.5,0.001,Training1028
0.5655737704918032,0.09600149128530142,1,0.001,Training1028
0.5355191256830601,-0.004552940036810817,0.001,0.002,Training1028
0.5409836065573771,0.020548599827965197,0.1,0.002,Training1028
0.4972677595628415,-0.0567079868193944,0.25,0.002,Training1028
0.5081967213114754,-0.052228078581696216,0.5,0.002,Training1028
0.5355191256830601,-0.0036455140820081,1,0.002,Training1028
0.4453551912568306,-0.04754250909398539,0.001,0.005,Training1028
0.5437158469945356,0.01982103338785743,0.1,0.005,Training1028
0.546448087431694,0.032208735544298955,0.25,0.005,Training1028
0.5601092896174863,0.06924656452377174,0.5,0.005,Training1028
0.5710382513661202,0.0971624296892184,1,0.005,Training1028
0.4371584699453552,-0.12662502614984625,0.001,0.01,Training1028
0.5355191256830601,-0.005462008338450541,0.1,0.01,Training1028
0.5382513661202186,0,0.25,0.01,Training1028
0.5601092896174863,0.06594173033636602,0.5,0.01,Training1028
0.5355191256830601,-3.214503841344504e-5,1,0.01,Training1028
0.5382513661202186,0,0.001,0.001,Training1029
0.5655737704918032,0.09521440343294235,0.1,0.001,Training1029
0.43169398907103823,-0.09363597184312594,0.25,0.001,Training1029
0.5382513661202186,0.001807442791208101,0.5,0.001,Training1029
0.5300546448087432,-0.014536663980660806,1,0.001,Training1029
0.5382513661202186,0,0.001,0.002,Training1029
0.5382513661202186,0,0.1,0.002,Training1029
0.4644808743169399,-0.10048169852422303,0.25,0.002,Training1029
0.47540983606557374,-0.07525170609297056,0.5,0.002,Training1029
0.5355191256830601,-0.0036455140820081,1,0.002,Training1029
0.5191256830601093,-0.03253935177764244,0.001,0.005,Training1029
0.5327868852459017,-0.010919076078177884,0.1,0.005,Training1029
0.5382513661202186,0,0.25,0.005,Training1029
0.43989071038251365,-0.13109415985768993,0.5,0.005,Training1029
0.546448087431694,0.02525268730948195,1,0.005,Training1029
0.5409836065573771,0.012621639849696522,0.001,0.01,Training1029
0.5382513661202186,0,0.1,0.01,Training1029
0.5628415300546448,0.07543654678076342,0.25,0.01,Training1029
0.4180327868852459,-0.16247651427037668,0.5,0.01,Training1029
0.5382513661202186,0,1,0.01,Training1029
0.5382513661202186,0,0.001,0.001,Training1030
0.5382513661202186,0.004506389416422738,0.1,0.001,Training1030
0.5683060109289617,0.09340607656852598,0.25,0.001,Training1030
0.5382513661202186,0.007190780392282828,0.5,0.001,Training1030
0.5546448087431693,0.06676469668053668,1,0.001,Training1030
0.5382513661202186,0,0.001,0.002,Training1030
0.5382513661202186,0,0.1,0.002,Training1030
0.5355191256830601,-3.214503841344504e-5,0.25,0.002,Training1030
0.5437158469945356,0.020700483865799448,0.5,0.002,Training1030
0.5382513661202186,9.045388467131e-4,1,0.002,Training1030
0.5683060109289617,0.08940887475199176,0.001,0.005,Training1030
0.5382513661202186,0,0.1,0.005,Training1030
0.5382513661202186,0,0.25,0.005,Training1030
0.5382513661202186,0,0.5,0.005,Training1030
0.5355191256830601,-0.0027397260273972937,1,0.005,Training1030
0.5819672131147541,0.1316254690940667,0.001,0.01,Training1030
0.4562841530054645,-0.11112128146453107,0.1,0.01,Training1030
0.4262295081967213,-0.13708317306269793,0.25,0.01,Training1030
0.5519125683060109,0.043015209974171624,0.5,0.01,Training1030
0.5628415300546448,0.06885037366830957,1,0.01,Training1030
0.5382513661202186,0,0.001,0.001,Training1031
0.546448087431694,0.03134466375434467,0.1,0.001,Training1031
0.5710382513661202,0.09636735335744594,0.25,0.001,Training1031
0.5382513661202186,0,0.5,0.001,Training1031
0.5382513661202186,0,1,0.001,Training1031
0.5546448087431693,0.04157696880120786,0.001,0.002,Training1031
0.5382513661202186,0,0.1,0.002,Training1031
0.4371584699453552,-0.12099675874988859,0.25,0.002,Training1031
0.5437158469945356,0.026812724898895066,0.5,0.002,Training1031
0.5737704918032787,0.10251815523908314,1,0.002,Training1031
0.5355191256830601,-0.004552940036810817,0.001,0.005,Training1031
0.546448087431694,0.03307126714835929,0.1,0.005,Training1031
0.5765027322404371,0.10551543628393921,0.25,0.005,Training1031
0.4262295081967213,-0.1485012402498433,0.5,0.005,Training1031
0.5409836065573771,0.01084263698079236,1,0.005,Training1031
0.5382513661202186,0,0.001,0.01,Training1031
0.5737704918032787,0.10488194901702567,0.1,0.01,Training1031
0.5409836065573771,0.01084263698079236,0.25,0.01,Training1031
0.5710382513661202,0.0931729949815358,0.5,0.01,Training1031
0.5655737704918032,0.07425789825331656,1,0.01,Training1031
0.5382513661202186,0,0.001,0.001,Training1032
0.48633879781420764,-0.07214310199756929,0.1,0.001,Training1032
0.5382513661202186,0,0.25,0.001,Training1032
0.4180327868852459,-0.13222180265489303,0.5,0.001,Training1032
0.4726775956284153,-0.08317232496089791,1,0.001,Training1032
0.5027322404371585,-0.04890876452618661,0.001,0.002,Training1032
0.5382513661202186,0,0.1,0.002,Training1032
0.5382513661202186,0,0.25,0.002,Training1032
0.5382513661202186,0,0.5,0.002,Training1032
0.4344262295081967,-0.08445220577710338,1,0.002,Training1032
0.5355191256830601,-0.0036455140820081,0.001,0.005,Training1032
0.5382513661202186,0.004506389416422738,0.1,0.005,Training1032
0.5655737704918032,0.09046294270263507,0.25,0.005,Training1032
0.5683060109289617,0.09499514851795027,0.5,0.005,Training1032
0.5546448087431693,0.05181347150259054,1,0.005,Training1032
0.5437158469945356,0.01982103338785743,0.001,0.01,Training1032
0.5491803278688525,0.039324234036460785,0.1,0.01,Training1032
0.5382513661202186,0,0.25,0.01,Training1032
0.546448087431694,0.02874316590465834,0.5,0.01,Training1032
0.5655737704918032,0.07425789825331656,1,0.01,Training1032
0.5355191256830601,0,0.001,0.001,Training1033
0.5765027322404371,0.11089866156787746,0.1,0.001,Training1033
0.5491803278688525,0.04418980089265929,0.25,0.001,Training1033
0.5355191256830601,0,0.5,0.001,Training1033
0.4180327868852459,-0.1365796763376585,1,0.001,Training1033
0.5437158469945356,0.022954698040218876,0.001,0.002,Training1033
0.5765027322404371,0.12163626792184058,0.1,0.002,Training1033
0.5491803278688525,0.04418980089265929,0.25,0.002,Training1033
0.4207650273224044,-0.12315442070522842,0.5,0.002,Training1033
0.5382513661202186,0.012074748442740844,1,0.002,Training1033
0.4562841530054645,-0.10895581473248284,0.001,0.005,Training1033
0.5327868852459017,-0.0037850842020848304,0.1,0.005,Training1033
0.5355191256830601,0,0.25,0.005,Training1033
0.5737704918032787,0.10479774223894625,0.5,0.005,Training1033
0.5355191256830601,0,1,0.005,Training1033
0.5792349726775956,0.13530927835051546,0.001,0.01,Training1033
0.592896174863388,0.15495707688970142,0.1,0.01,Training1033
0.5327868852459017,-0.0037850842020848304,0.25,0.01,Training1033
0.5382513661202186,0.01289457725575304,0.5,0.01,Training1033
0.5355191256830601,0,1,0.01,Training1033
0.5327868852459017,0,0.001,0.001,Training1034
0.4726775956284153,-0.08217667064987597,0.1,0.001,Training1034
0.5683060109289617,0.10185444040629944,0.25,0.001,Training1034
0.5765027322404371,0.11461747354621214,0.5,0.001,Training1034
0.5737704918032787,0.1079028780350612,1,0.001,Training1034
0.5327868852459017,0.00153154015506866,0.001,0.002,Training1034
0.46994535519125685,-0.09300822019026514,0.1,0.002,Training1034
0.5327868852459017,0,0.25,0.002,Training1034
0.5327868852459017,0.0038200744914526573,0.5,0.002,Training1034
0.5710382513661202,0.11447064262598235,1,0.002,Training1034
0.5327868852459017,0,0.001,0.005,Training1034
0.5409836065573771,0.02834929363800128,0.1,0.005,Training1034
0.5300546448087432,-0.003923069562721241,0.25,0.005,Training1034
0.5327868852459017,0,0.5,0.005,Training1034
0.5437158469945356,0.035961010693668964,1,0.005,Training1034
0.5327868852459017,0,0.001,0.01,Training1034
0.5655737704918032,0.08835416862487061,0.1,0.01,Training1034
0.5382513661202186,0.01697339563268816,0.25,0.01,Training1034
0.5327868852459017,0,0.5,0.01,Training1034
0.5628415300546448,0.07741752528594381,1,0.01,Training1034
0.5355191256830601,0,0.001,0.001,Training1035
0.5409836065573771,0.02560851926977701,0.1,0.001,Training1035
0.5683060109289617,0.09773450664669524,0.25,0.001,Training1035
0.5027322404371585,-0.04781979487824836,0.5,0.001,Training1035
0.5765027322404371,0.11089866156787746,1,0.001,Training1035
0.505464480874317,-0.03908774351413245,0.001,0.002,Training1035
0.4344262295081967,-0.1276456404608103,0.1,0.002,Training1035
0.5355191256830601,0,0.25,0.002,Training1035
0.5382513661202186,0.016160330841418755,0.5,0.002,Training1035
0.5355191256830601,0.005816183049980946,1,0.002,Training1035
0.5355191256830601,0,0.001,0.005,Training1035
0.5710382513661202,0.10162283856039515,0.1,0.005,Training1035
0.5491803278688525,0.04024029751120444,0.25,0.005,Training1035
0.42349726775956287,-0.15840158401584037,0.5,0.005,Training1035
0.5437158469945356,0.03180738159353723,1,0.005,Training1035
0.4344262295081967,-0.07601193012356201,0.001,0.01,Training1035
0.5765027322404371,0.11017347931110198,0.1,0.01,Training1035
0.5765027322404371,0.11234548583946156,0.25,0.01,Training1035
0.5846994535519126,0.13480559875583195,0.5,0.01,Training1035
0.5355191256830601,0,1,0.01,Training1035
0.5355191256830601,0,0.001,0.001,Training1036
0.5355191256830601,0.0041613316261202415,0.1,0.001,Training1036
0.5628415300546448,0.09073970560834715,0.25,0.001,Training1036
0.5765027322404371,0.11450691474417,0.5,0.001,Training1036
0.546448087431694,0.0316225693337584,1,0.001,Training1036
0.5355191256830601,0,0.001,0.002,Training1036
0.546448087431694,0.0316225693337584,0.1,0.002,Training1036
0.5355191256830601,0,0.25,0.002,Training1036
0.5792349726775956,0.11914734012627357,0.5,0.002,Training1036
0.5765027322404371,0.11522505380704309,1,0.002,Training1036
0.5355191256830601,8.350462487151945e-4,0.001,0.005,Training1036
0.5409836065573771,0.018328118015198944,0.1,0.005,Training1036
0.5437158469945356,0.026192524615237515,0.25,0.005,Training1036
0.5655737704918032,0.08497122551023596,0.5,0.005,Training1036
0.5355191256830601,0.0016686990565434646,1,0.005,Training1036
0.5792349726775956,0.12342146189735603,0.001,0.01,Training1036
0.5983606557377049,0.1683104034626681,0.1,0.01,Training1036
0.40710382513661203,-0.14834735837598703,0.25,0.01,Training1036
0.5355191256830601,0.0016686990565434646,0.5,0.01,Training1036
0.5819672131147541,0.11950061322683087,1,0.01,Training1036
0.5355191256830601,8.350462487151945e-4,0.001,0.001,Training1037
0.5710382513661202,0.1045348293595137,0.1,0.001,Training1037
0.5355191256830601,0,0.25,0.001,Training1037
0.5355191256830601,8.350462487151945e-4,0.5,0.001,Training1037
0.45081967213114754,-0.08571681572655639,1,0.001,Training1037
0.5327868852459017,-0.005462198374192786,0.001,0.002,Training1037
0.546448087431694,0.03879255790406293,0.1,0.002,Training1037
0.5355191256830601,0,0.25,0.002,Training1037
0.5409836065573771,0.024804922920763833,0.5,0.002,Training1037
0.5382513661202186,0.020212260415016704,1,0.002,Training1037
0.5327868852459017,0.008617139236496176,0.001,0.005,Training1037
0.5355191256830601,0,0.1,0.005,Training1037
0.5355191256830601,0,0.25,0.005,Training1037
0.546448087431694,0.03800114003420106,0.5,0.005,Training1037
0.5409836065573771,0.026410792323769732,1,0.005,Training1037
0.5437158469945356,0.029408962428938895,0.001,0.01,Training1037
0.5355191256830601,0,0.1,0.01,Training1037
0.5300546448087432,-0.009234320892650912,0.25,0.01,Training1037
0.5819672131147541,0.13087071240105524,0.5,0.01,Training1037
0.5491803278688525,0.041032807190268986,1,0.01,Training1037
0.5382513661202186,0,0.001,0.001,Training1038
0.5409836065573771,0.0214215233790624,0.1,0.001,Training1038
0.5382513661202186,9.045388467131e-4,0.25,0.001,Training1038
0.5409836065573771,0.0214215233790624,0.5,0.001,Training1038
0.5683060109289617,0.08940887475199176,1,0.001,Training1038
0.5355191256830601,-0.0036455140820081,0.001,0.002,Training1038
0.43169398907103823,-0.14234266678671118,0.1,0.002,Training1038
0.5300546448087432,-0.014536663980660806,0.25,0.002,Training1038
0.5710382513661202,0.10425565081839427,0.5,0.002,Training1038
0.5628415300546448,0.09386315105375523,1,0.002,Training1038
0.546448087431694,0.023498023080137487,0.001,0.005,Training1038
0.4644808743169399,-0.09953710799791535,0.1,0.005,Training1038
0.5382513661202186,0,0.25,0.005,Training1038
0.5683060109289617,0.08940887475199176,0.5,0.005,Training1038
0.505464480874317,-0.04545024145440767,1,0.005,Training1038
0.5737704918032787,0.11344368187323373,0.001,0.01,Training1038
0.5081967213114754,-0.04941221447003737,0.1,0.01,Training1038
0.45901639344262296,-0.11362448904324314,0.25,0.01,Training1038
0.587431693989071,0.14741908611273952,0.5,0.01,Training1038
0.41530054644808745,-0.18425111131270977,1,0.01,Training1038
0.5355191256830601,0,0.001,0.001,Training1039
0.5327868852459017,-4.4758464145255823e-4,0.1,0.001,Training1039
0.5355191256830601,0,0.25,0.001,Training1039
0.4453551912568306,-0.11972149380594992,0.5,0.001,Training1039
0.5355191256830601,0,1,0.001,Training1039
0.43169398907103823,-0.08001361933946212,0.001,0.002,Training1039
0.546448087431694,0.034822393086357026,0.1,0.002,Training1039
0.4207650273224044,-0.16072283389181416,0.25,0.002,Training1039
0.5382513661202186,0.009607070804111776,0.5,0.002,Training1039
0.5819672131147541,0.1266415047256619,1,0.002,Training1039
0.412568306010929,-0.1577847747403114,0.001,0.005,Training1039
0.5273224043715847,-0.012990752887722737,0.1,0.005,Training1039
0.4180327868852459,-0.17488018808210504,0.25,0.005,Training1039
0.5300546448087432,-0.009234320892650912,0.5,0.005,Training1039
0.5355191256830601,0,1,0.005,Training1039
0.5792349726775956,0.11410788381742737,0.001,0.01,Training1039
0.48360655737704916,-0.07623611413635378,0.1,0.01,Training1039
0.4180327868852459,-0.12972784975219553,0.25,0.01,Training1039
0.44808743169398907,-0.13420471281296018,0.5,0.01,Training1039
0.5792349726775956,0.11193042162979758,1,0.01,Training1039
0.5109289617486339,-0.032985399388224944,0.001,0.001,Training1040
0.5382513661202186,0,0.1,0.001,Training1040
0.4371584699453552,-0.08837370442012887,0.25,0.001,Training1040
0.42349726775956287,-0.10099512417667014,0.5,0.001,Training1040
0.5355191256830601,-3.214503841344504e-5,1,0.001,Training1040
0.5355191256830601,-0.004552940036810817,0.001,0.002,Training1040
0.5546448087431693,0.05517721960026597,0.1,0.002,Training1040
0.5491803278688525,0.03760956175298799,0.25,0.002,Training1040
0.43989071038251365,-0.10680041304027149,0.5,0.002,Training1040
0.5382513661202186,0,1,0.002,Training1040
0.5382513661202186,0.0027087162619714674,0.001,0.005,Training1040
0.5792349726775956,0.11558135885768073,0.1,0.005,Training1040
0.5491803278688525,0.03416178869590241,0.25,0.005,Training1040
0.5382513661202186,0,0.5,0.005,Training1040
0.42896174863387976,-0.1570715474209652,1,0.005,Training1040
0.5956284153005464,0.15670828533175568,0.001,0.01,Training1040
0.5355191256830601,-0.005462008338450541,0.1,0.01,Training1040
0.5683060109289617,0.0861856452071677,0.25,0.01,Training1040
0.5846994535519126,0.12783369391402502,0.5,0.01,Training1040
0.5901639344262295,0.14081817897273763,1,0.01,Training1040
0.5519125683060109,0.04044505547207187,0.001,0.001,Training1041
0.5792349726775956,0.14343029087261774,0.1,0.001,Training1041
0.5409836065573771,0.006366956465531244,0.25,0.001,Training1041
0.5327868852459017,-0.007274600057939138,0.5,0.001,Training1041
0.47540983606557374,-0.09304713019132062,1,0.001,Training1041
0.5382513661202186,0,0.001,0.002,Training1041
0.47540983606557374,-0.090198268640044807,0.1,0.002,Training1041
0.5683060109289617,0.0997291154217391,0.25,0.002,Training1041
0.5546448087431693,0.05685015967369644,0.5,0.002,Training1041
0.587431693989071,0.15472148297696603,1,0.002,Training1041
0.5628415300546448,0.09543081343260507,0.001,0.005,Training1041
0.5765027322404371,0.1195095452428991,0.1,0.005,Training1041
0.5819672131147541,0.1457208237986268,0.25,0.005,Training1041
0.5382513661202186,0,0.5,0.005,Training1041
0.4180327868852459,-0.14714971011507116,1,0.005,Training1041
0.5355191256830601,-0.0036455140820081,0.001,0.01,Training1041
0.5382513661202186,0,0.1,0.01,Training1041
0.5737704918032787,0.10172744721689055,0.25,0.01,Training1041
0.587431693989071,0.1354691361887181,0.5,0.01,Training1041
0.5382513661202186,0.004506389416422738,1,0.01,Training1041
0.5382513661202186,0,0.001,0.001,Training1042
0.4426229508196721,-0.1289122743354804,0.1,0.001,Training1042
0.4972677595628415,-0.06324797120212197,0.25,0.001,Training1042
0.5382513661202186,0,0.5,0.001,Training1042
0.5737704918032787,0.10957237765509481,1,0.001,Training1042
0.5382513661202186,0,0.001,0.002,Training1042
0.5519125683060109,0.047268340687597034,0.1,0.002,Training1042
0.5300546448087432,-0.013621872282871136,0.25,0.002,Training1042
0.5327868852459017,-0.0063675832127351225,0.5,0.002,Training1042
0.5,-0.06642677451198935,1,0.002,Training1042
0.546448087431694,0.03047904764944306,0.001,0.005,Training1042
0.5846994535519126,0.13542411338700142,0.1,0.005,Training1042
0.5491803278688525,0.03846766232525562,0.25,0.005,Training1042
0.5382513661202186,0,0.5,0.005,Training1042
0.45081967213114754,-0.12710280373831787,1,0.005,Training1042
0.5355191256830601,-0.0036455140820081,0.001,0.01,Training1042
0.5355191256830601,-0.005462008338450541,0.1,0.01,Training1042
0.5901639344262295,0.14902191772328469,0.25,0.01,Training1042
0.4972677595628415,-0.058568329718004436,0.5,0.01,Training1042
0.5546448087431693,0.05012259975161593,1,0.01,Training1042
0.5409836065573771,0,0.001,0.001,Training1043
0.5737704918032787,0.11790878754171291,0.1,0.001,Training1043
0.5409836065573771,0,0.25,0.001,Training1043
0.5710382513661202,0.11512519634112538,0.5,0.001,Training1043
0.4262295081967213,-0.11995104039167694,1,0.001,Training1043
0.4180327868852459,-0.1444552100766318,0.001,0.002,Training1043
0.42896174863387976,-0.09782140704383047,0.1,0.002,Training1043
0.5355191256830601,-0.006014745828482874,0.25,0.002,Training1043
0.5409836065573771,0.00678426051560405,0.5,0.002,Training1043
0.5546448087431693,0.049698939118799364,1,0.002,Training1043
0.5409836065573771,9.748488984206431e-4,0.001,0.005,Training1043
0.5409836065573771,0,0.1,0.005,Training1043
0.43169398907103823,-0.13103940096273858,0.25,0.005,Training1043
0.5382513661202186,3.878599825463564e-4,0.5,0.005,Training1043
0.5737704918032787,0.09526525955504847,1,0.005,Training1043
0.5519125683060109,0.03789190228890143,0.001,0.01,Training1043
0.42349726775956287,-0.1488886905293225,0.1,0.01,Training1043
0.5409836065573771,0,0.25,0.01,Training1043
0.5737704918032787,0.09354162697656691,0.5,0.01,Training1043
0.5819672131147541,0.1113967437874892,1,0.01,Training1043
0.5437158469945356,0,0.001,0.001,Training1044
0.5819672131147541,0.11263588248344045,0.1,0.001,Training1044
0.5819672131147541,0.11173503378699912,0.25,0.001,Training1044
0.5737704918032787,0.09293680297397745,0.5,0.001,Training1044
0.5792349726775956,0.1336346029696577,1,0.001,Training1044
0.5683060109289617,0.06418098844548008,0.001,0.002,Training1044
0.5409836065573771,-0.00546162148019771,0.1,0.002,Training1044
0.40710382513661203,-0.12812136018863113,0.25,0.002,Training1044
0.4726775956284153,-0.10368425986687928,0.5,0.002,Training1044
0.5683060109289617,0.10230059921140033,1,0.002,Training1044
0.5819672131147541,0.11263588248344045,0.001,0.005,Training1044
0.4890710382513661,-0.07799653488738402,0.1,0.005,Training1044
0.5846994535519126,0.15732073070980634,0.25,0.005,Training1044
0.5437158469945356,0,0.5,0.005,Training1044
0.4426229508196721,-0.14765286359863522,1,0.005,Training1044
0.5792349726775956,0.15280324665564396,0.001,0.01,Training1044
0.41530054644808745,-0.16052748555341545,0.1,0.01,Training1044
0.5601092896174863,0.04789142026175462,0.25,0.01,Training1044
0.5792349726775956,0.0999904193146616,0.5,0.01,Training1044
0.4098360655737705,-0.19749159320185408,1,0.01,Training1044
0.5409836065573771,0,0.001,0.001,Training1045
0.5846994535519126,0.12758750470455388,0.1,0.001,Training1045
0.5081967213114754,-0.05091883614088815,0.25,0.001,Training1045
0.5027322404371585,-0.05052990158970474,0.5,0.001,Training1045
0.5109289617486339,-0.04458050320482157,1,0.001,Training1045
0.5409836065573771,0,0.001,0.002,Training1045
0.587431693989071,0.13291913772004135,0.1,0.002,Training1045
0.5601092896174863,0.09592193684985716,0.25,0.002,Training1045
0.5409836065573771,0.0019477989871443237,0.5,0.002,Training1045
0.42349726775956287,-0.10737331153746872,1,0.002,Training1045
0.5409836065573771,0,0.001,0.005,Training1045
0.5409836065573771,0,0.1,0.005,Training1045
0.5819672131147541,0.11560693641618487,0.25,0.005,Training1045
0.5573770491803278,0.04871005005775878,0.5,0.005,Training1045
0.5409836065573771,0,1,0.005,Training1045
0.5355191256830601,-0.010918307662312459,0.001,0.01,Training1045
0.5601092896174863,0.05321507760532126,0.1,0.01,Training1045
0.5683060109289617,0.07752679938744253,0.25,0.01,Training1045
0.5409836065573771,0,0.5,0.01,Training1045
0.5573770491803278,0.04962492787074411,1,0.01,Training1045
0.5382513661202186,0,0.001,0.001,Training1046
0.5191256830601093,-0.03346703032247704,0.1,0.001,Training1046
0.5737704918032787,0.11498279443221605,0.25,0.001,Training1046
0.5846994535519126,0.13391661736774904,0.5,0.001,Training1046
0.5737704918032787,0.10409540247920904,1,0.001,Training1046
0.5081967213114754,-0.04013388487164104,0.001,0.002,Training1046
0.49453551912568305,-0.05919344241779569,0.1,0.002,Training1046
0.5765027322404371,0.13529250373441443,0.25,0.002,Training1046
0.5382513661202186,0,0.5,0.002,Training1046
0.5819672131147541,0.12248096029084513,1,0.002,Training1046
0.5655737704918032,0.08566131414385811,0.001,0.005,Training1046
0.5819672131147541,0.12016466077993897,0.1,0.005,Training1046
0.5683060109289617,0.10905001078482722,0.25,0.005,Training1046
0.5355191256830601,-0.0036455140820081,0.5,0.005,Training1046
0.5792349726775956,0.1132437619961612,1,0.005,Training1046
0.4180327868852459,-0.15957161981258366,0.001,0.01,Training1046
0.5382513661202186,0,0.1,0.01,Training1046
0.5327868852459017,-0.010919076078177884,0.25,0.01,Training1046
0.5546448087431693,0.05012259975161593,0.5,0.01,Training1046
0.5737704918032787,0.09535126913204665,1,0.01,Training1046
0.5382513661202186,0,0.001,0.001,Training1047
0.5382513661202186,0,0.1,0.001,Training1047
0.5655737704918032,0.11146059180993664,0.25,0.001,Training1047
0.4726775956284153,-0.10113795791114577,0.5,0.001,Training1047
0.5655737704918032,0.09757156592128495,1,0.001,Training1047
0.5382513661202186,0.001807442791208101,0.001,0.002,Training1047
0.5765027322404371,0.1179763052333715,0.1,0.002,Training1047
0.41530054644808745,-0.15778270509977824,0.25,0.002,Training1047
0.5327868852459017,-0.0063675832127351225,0.5,0.002,Training1047
0.5628415300546448,0.07297767927813811,1,0.002,Training1047
0.5382513661202186,0,0.001,0.005,Training1047
